Generation,Fitness Avg,Fitness Best,Execution Time
1,3283.6154882154888,3792,3728650.860786438
2,2328.596127946128,3777,3728650.860786438
3,2498.1673400673403,3801,3728650.860786438
4,2627.9210437710435,3777,3728650.860786438
5,2662.440572390572,3777,3728650.860786438
6,2831.306734006734,3788,3728650.860786438
7,2807.267171717172,3788,3728650.860786438
8,2920.8262626262626,3788,3728650.860786438
9,2922.7196969696947,3788,3728650.860786438
10,3002.5225589225597,3801,3728650.860786438
11,3034.215319865319,3788,3728650.860786438
12,3125.1686868686875,3793,3728650.860786438
13,3123.56026936027,3788,3728650.860786438
14,3124.950505050506,3801,3728650.860786438
15,3117.8441077441066,3788,3728650.860786438
16,3133.4262626262625,3785,3728650.860786438
17,3047.7666666666655,3788,3728650.860786438
18,2942.540572390572,3785,3728650.860786438
19,3097.3005050505044,3809,3728650.860786438
20,3030.3821548821556,3798,3728650.860786438
21,3044.747306397307,3798,3728650.860786438
22,3151.9543771043764,3798,3728650.860786438
23,3066.073569023569,3798,3728650.860786438
24,2964.575589225589,3788,3728650.860786438
25,3070.2422558922567,3788,3728650.860786438
26,3176.389898989899,3788,3728650.860786438
27,2912.27239057239,3788,3728650.860786438
28,3036.078451178452,3788,3728650.860786438
29,3001.5599326599317,3788,3728650.860786438
30,3159.4037037037033,3788,3728650.860786438
31,2978.3794612794613,3788,3728650.860786438
32,2952.817340067338,3788,3728650.860786438
33,3114.5641414141405,3788,3728650.860786438
34,3104.3430976430973,3788,3728650.860786438
35,3052.549663299663,3788,3728650.860786438
36,3117.1420875420868,3788,3728650.860786438
37,3118.200000000001,3788,3728650.860786438
38,3103.480808080808,3788,3728650.860786438
39,3188.655387205387,3788,3728650.860786438
40,3105.539057239057,3809,3728650.860786438
41,3042.2683501683505,3799,3728650.860786438
42,3140.258249158249,3799,3728650.860786438
43,3076.0244107744097,3799,3728650.860786438
44,3093.237878787879,3799,3728650.860786438
45,3055.898316498319,3799,3728650.860786438
46,3029.327441077441,3799,3728650.860786438
47,3092.3892255892256,3826,3728650.860786438
48,3146.177272727274,3826,3728650.860786438
49,3197.4809764309757,3826,3728650.860786438
50,3187.446296296297,3826,3728650.860786438
51,3158.690404040404,3826,3728650.860786438
52,3071.504713804714,3826,3728650.860786438
53,3125.2919191919195,3820,3728650.860786438
54,3169.5222222222224,3820,3728650.860786438
55,3132.848148148147,3826,3728650.860786438
56,3063.457407407408,3826,3728650.860786438
57,3150.392760942761,3826,3728650.860786438
58,3016.6338383838397,3826,3728650.860786438
59,3104.341245791246,3826,3728650.860786438
60,3036.55185185185,3810,3728650.860786438
61,3096.651346801346,3826,3728650.860786438
62,3072.580639730639,3826,3728650.860786438
63,3228.2176767676765,3826,3728650.860786438
